Date,Last Value
2015-06-15 00:00:00,45.48
2015-06-16 00:00:00,45.830002
2015-06-17 00:00:00,45.970001
2015-06-18 00:00:00,46.720001
2015-06-19 00:00:00,46.099998
2015-06-22 00:00:00,46.23
2015-06-23 00:00:00,45.91
2015-06-24 00:00:00,45.639999
2015-06-25 00:00:00,45.650002
2015-06-26 00:00:00,45.259998
2015-06-29 00:00:00,44.369999
2015-06-30 00:00:00,44.150002
2015-07-01 00:00:00,44.450001
2015-07-02 00:00:00,44.400002
2015-07-06 00:00:00,44.389999
2015-07-07 00:00:00,44.299999
2015-07-08 00:00:00,44.240002
2015-07-09 00:00:00,44.52
2015-07-10 00:00:00,44.610001
2015-07-13 00:00:00,45.540001
2015-07-14 00:00:00,45.619999
2015-07-15 00:00:00,45.759998
2015-07-16 00:00:00,46.66
2015-07-17 00:00:00,46.619999
2015-07-20 00:00:00,46.919998
2015-07-21 00:00:00,47.279999
2015-07-22 00:00:00,45.540001
2015-07-23 00:00:00,46.110001
2015-07-24 00:00:00,45.939999
2015-07-27 00:00:00,45.349998
2015-07-28 00:00:00,45.34
2015-07-29 00:00:00,46.290001
2015-07-30 00:00:00,46.880001
2015-07-31 00:00:00,46.700001
2015-08-03 00:00:00,46.810001
2015-08-04 00:00:00,47.540001
2015-08-05 00:00:00,47.580002
2015-08-06 00:00:00,46.619999
2015-08-07 00:00:00,46.740002
2015-08-10 00:00:00,47.330002
2015-08-11 00:00:00,46.41
2015-08-12 00:00:00,46.740002
2015-08-13 00:00:00,46.73
2015-08-14 00:00:00,47
2015-08-17 00:00:00,47.32
2015-08-18 00:00:00,47.27
2015-08-19 00:00:00,46.610001
2015-08-20 00:00:00,45.66
2015-08-21 00:00:00,43.07
2015-08-24 00:00:00,41.68
2015-08-25 00:00:00,40.470001
2015-08-26 00:00:00,42.709999
2015-08-27 00:00:00,43.900002
2015-08-28 00:00:00,43.93
2015-08-31 00:00:00,43.52
2015-09-01 00:00:00,41.82
2015-09-02 00:00:00,43.360001
2015-09-03 00:00:00,43.5
2015-09-04 00:00:00,42.610001
2015-09-08 00:00:00,43.889999
2015-09-09 00:00:00,43.07
2015-09-10 00:00:00,43.290001
2015-09-11 00:00:00,43.48
2015-09-14 00:00:00,43.040001
2015-09-15 00:00:00,43.98
2015-09-16 00:00:00,44.299999
2015-09-17 00:00:00,44.25
2015-09-18 00:00:00,43.48
2015-09-21 00:00:00,44.110001
2015-09-22 00:00:00,43.900002
2015-09-23 00:00:00,43.869999
2015-09-24 00:00:00,43.91
2015-09-25 00:00:00,43.939999
2015-09-28 00:00:00,43.290001
2015-09-29 00:00:00,43.439999
2015-09-30 00:00:00,44.259998
2015-10-01 00:00:00,44.610001
